crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
14143403639,2024-08-15,2024-08-15,2024-11-13,"api.my-sandbox.plaid.com","api.my-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14181962645,2024-08-15,2024-08-15,2024-11-13,"api.my-sandbox.plaid.com","api.my-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14143288445,2024-08-15,2024-08-15,2024-11-13,"api.my-commits.plaid.com","api.my-commits.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14181973279,2024-08-15,2024-08-15,2024-11-13,"api.my-commits.plaid.com","api.my-commits.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14216964834,2024-08-20,2024-08-20,2024-11-18,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14247390975,2024-08-20,2024-08-20,2024-11-18,"*.plaid.com","*.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14216965263,2024-08-20,2024-08-20,2024-11-18,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14247391993,2024-08-20,2024-08-20,2024-11-18,"*.prod.ue1.plaid.com","*.prod.ue1.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14219423418,2024-08-20,2024-08-20,2024-11-18,"api.my-testing.plaid.com","api.my-testing.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14251461140,2024-08-20,2024-08-20,2024-11-18,"api.my-testing.plaid.com","api.my-testing.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14219991441,2024-08-20,2024-08-20,2024-11-18,"api.my-sandbox.plaid.com","api.my-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14252191383,2024-08-20,2024-08-20,2024-11-18,"api.my-sandbox.plaid.com","api.my-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14226390111,2024-08-20,2024-08-20,2024-11-18,"api.my-commits.plaid.com","api.my-commits.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14252190025,2024-08-20,2024-08-20,2024-11-18,"api.my-commits.plaid.com","api.my-commits.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14220988935,2024-08-20,2024-08-20,2024-11-18,"api.my.plaid.com","api.my.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14253131088,2024-08-20,2024-08-20,2024-11-18,"api.my.plaid.com","api.my.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14220989079,2024-08-20,2024-08-20,2024-11-18,"api.my.plaid.com","api.my.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14253131683,2024-08-20,2024-08-20,2024-11-18,"api.my.plaid.com","api.my.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14223578855,2024-08-21,2024-08-20,2024-11-18,"support.plaid.com","support-my.plaid.com
support.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14255384147,2024-08-21,2024-08-20,2024-11-18,"support.plaid.com","support-my.plaid.com
support.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14270353841,2024-08-24,2024-08-24,2024-11-22,"effects.plaid.com","effects.plaid.com","C=US, O=Let's Encrypt, CN=E5"
14288718598,2024-08-24,2024-08-24,2024-11-22,"effects.plaid.com","effects.plaid.com","C=US, O=Let's Encrypt, CN=E5"
14337361714,2024-08-28,2024-08-28,2024-11-26,"api.hosted-sandbox.plaid.com","api.hosted-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14337365493,2024-08-28,2024-08-28,2024-11-26,"api.hosted-sandbox.plaid.com","api.hosted-sandbox.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14337371007,2024-08-28,2024-08-28,2024-11-26,"api.hosted.plaid.com","api.hosted.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14337370989,2024-08-28,2024-08-28,2024-11-26,"api.hosted.plaid.com","api.hosted.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14366562120,2024-08-30,2024-08-30,2025-09-25,"longateway.plaid.com","longateway.plaid.com","C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
14366876165,2024-08-30,2024-08-30,2025-09-25,"longateway.plaid.com","longateway.plaid.com","C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
14371093656,2024-08-31,2024-08-31,2024-11-29,"go.plaid.com","go.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14371097519,2024-08-31,2024-08-31,2024-11-29,"go.plaid.com","go.plaid.com","C=US, O=Let's Encrypt, CN=R11"
14371087362,2024-08-31,2024-08-31,2024-11-29,"go.plaid.com","go.plaid.com","C=US, O=Let's Encrypt, CN=E6"
14371097367,2024-08-31,2024-08-31,2024-11-29,"go.plaid.com","go.plaid.com","C=US, O=Let's Encrypt, CN=E6"
14385176842,2024-09-01,2024-09-01,2024-11-30,"em.plaid.com","em.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14385186698,2024-09-01,2024-09-01,2024-11-30,"em.plaid.com","em.plaid.com","C=US, O=Let's Encrypt, CN=R10"
14385184258,2024-09-01,2024-09-01,2024-11-30,"em.plaid.com","em.plaid.com","C=US, O=Let's Encrypt, CN=E6"
14385184589,2024-09-01,2024-09-01,2024-11-30,"em.plaid.com","em.plaid.com","C=US, O=Let's Encrypt, CN=E6"
14408852972,2024-09-02,2024-09-02,2025-10-03,"Plaid Inc","plaid.com","C=US, O=\"DigiCert, Inc.\", CN=DigiCert Verified Mark RSA4096 SHA256 2021 CA1"
14412292998,2024-09-03,2024-09-03,2024-12-02,"sales.plaid.com","sales.plaid.com","C=US, O=Let's Encrypt, CN=R11"
